amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
100000,,乐山市,延长石油科研中心,Z,90,APP,2,53.8,F,汉,878,2,01,MATE,COLLEAGUE,1,89.16,四川省,CONSUME,01,,28.927543453176147,103.4839846264593,ANDROID,,0
100000,103,玉林市,南宁东运制版有限公司,C,24,APP,2,37.9,M,汉,5408,2,01,FATHER,MOTHER,1,93.659,广西壮族自治区,CONSUME,02,,22.611603,110.18103,ANDROID,false,0
100000,104,信阳市,贵州钰祥矿业有限公司,C,24,APP,2,33.6,M,汉,138,4,01,FATHER,COLLEAGUE,1,70,河南省,CONSUME,01,,27.532963,106.632283,ANDROID,false,0
100000,403,德州市,董文华个人工作室,Z,90,APP,2,24.0,F,汉,1013,4,01,MOTHER,SIBLING,2,70,山东省,CONSUME,01,,36.69455724160776,117.02767712077953,ANDROID,false,0
100000,105,大同市,刘广华个人工作室,Z,90,APP,2,49.8,F,汉,2163,4,01,MOTHER,RELATIVES,2,96.21,山西省,CONSUME,02,,40.0748464210556,113.30294635583664,ANDROID,false,0
100000,,江门市,广东冠捷建筑公司,E,24,APP,3,34.6,M,汉,6040,2,01,MATE,COLLEAGUE,1,70,广东省,CONSUME,02,,22.687179,113.006386,ANDROID,false,0
100000,,吕梁市,山西鑫盛源农产品有限公司,C,24,APP,2,25.6,M,汉,244,2,01,MOTHER,FRIENDS,2,70,山西省,CONSUME,02,,37.8553,110.878938,ANDROID,false,0
100000,,合肥市,芜湖林夕餐饮有限公司,Z,90,XCX,3,27.8,M,汉,978,3,01,PARENTS,SIBLING,2,70,安徽省,CONSUME,01,,31.286652554755823,118.38283838434741,ANDROID,,0
100000,104,崇左市,黄爱群个人工作室,C,24,APP,3,48.3,F,壮,781,2,01,PARENTS,RELATIVES,1,70,广西壮族自治区,CONSUME,01,,22.803737719134057,114.09163252468062,ANDROID,false,0
100000,,连云港市,连云港鼎睿网络技术有限公司,G,13,XCX,4,29.8,M,汉,6110,2,01,FATHER,MOTHER,2,84.51,江苏省,CONSUME,01,,34.595793,119.180788,IOS,,0
100000,102,湛江市,常德华网电力建设有限公司,E,24,APP,3,36.5,M,汉,6160,4,01,MOTHER,SIBLING,1,75.965,广东省,CONSUME,02,,23.015965,113.021003,ANDROID,false,0
100000,,宿迁市,上海靖和实业有限公司,Z,90,APP,3,24.6,M,汉,1498,4,01,PARENTS,FRIENDS,2,70,江苏省,CONSUME,01,,31.315614149305556,121.23652506510416,ANDROID,false,0
100000,,哈尔滨市,南京市建邺区今愉记食品店,Z,90,XCX,3,48.6,M,汉,1286,4,01,MATE,SIBLING,1,70,黑龙江省,CONSUME,01,,32.037053765190976,118.87856960720487,ANDROID,,0
100000,,重庆市,呼哪儿集团,Z,90,XCX,3,34.0,F,汉,6702,2,01,PARENTS,FRIENDS,1,70,重庆市,CONSUME,01,,29.97245505156263,106.33536689004944,ANDROID,,0
100000,,宜宾市,精翔自动化设备,Z,90,APP,2,34.1,M,汉,4807,4,01,MATE,FATHER,1,100.0,四川省,CONSUME,01,,22.578727,113.299809,ANDROID,,0
100000,105,铁岭市,沈阳市百丽鞋业有限公司,C,24,XCX,4,31.5,F,汉,5359,2,,PARENTS,FRIENDS,1,70,辽宁省,CONSUME,01,,41.918414442274305,123.37382541232638,ANDROID,,0
100000,,盐城市,盐城市向前物流有限公司,Z,90,APP,2,43.7,M,汉,6228,4,01,MATE,FATHER,1,100.0,江苏省,CONSUME,01,,31.91416654284084,120.33386202754191,ANDROID,,0
100000,105,资阳市,绵阳市鸿跃汽车职业技能培训学校,P,13,APP,4,23.4,F,汉,2301,2,01,FATHER,FRIENDS,2,70,四川省,CONSUME,01,,30.71366,104.045979,ANDROID,false,0
100000,,哈尔滨市,微利所在公司,Z,90,XCX,4,35.6,M,汉,4457,2,01,FATHER,FRIENDS,2,70,黑龙江省,CONSUME,01,,45.74826063368056,126.58350613064236,ANDROID,,0
100000,105,济宁市,蒙牛乳业集团,Z,90,APP,3,24.9,M,汉,1097,2,01,FATHER,MOTHER,2,88.582,山东省,CONSUME,01,,35.41118762729582,116.60023226981906,ANDROID,false,0
100000,,邯郸市,河间市致远玻璃制品经销处,C,24,XCX,2,29.1,M,汉,6338,3,,PARENTS,COLLEAGUE,1,70,河北省,CONSUME,01,,39.88414876302083,116.68451063368056,ANDROID,,0
100000,,河池市,思源街道办事处,Z,90,APP,4,22.5,M,汉,2658,4,01,FATHER,FATHER,2,100.0,广西壮族自治区,CONSUME,01,,24.549596830834099,107.05649299775864,ANDROID,,0
100000,105,开封市,王友田个人工作室,Z,90,XCX,2,47.8,M,回,5561,3,01,CHILDREN,CHILDREN,1,70,河南省,CONSUME,01,,34.54490495248863,114.73441550224837,ANDROID,,0
100000,105,呼伦贝尔市,刘二郎烤骨头,H,24,XCX,2,34.5,M,汉,4735,4,01,PARENTS,MATE,2,86.795,内蒙古自治区,CONSUME,01,,38.869773893840154,121.540822757615828,ANDROID,,0
100000,,佳木斯市,佰营新能源科技河北集团有限公司,Z,90,APP,3,44.6,M,汉,5806,4,01,MATE,FRIENDS,1,97.31,黑龙江省,CONSUME,01,,29.692316796020408,106.61023143920095,ANDROID,,0
100000,105,呼伦贝尔市,刘二郎烤骨头,H,24,XCX,2,34.5,M,汉,4735,4,01,PARENTS,MATE,2,86.795,内蒙古自治区,CONSUME,01,,38.869773893840154,121.540822757615828,ANDROID,,0
100000,102,枣阳市,湖北飞龙摩擦材料股份有限公司,C,24,APP,3,37.4,M,汉,3383,2,01,FATHER,FRIENDS,1,70,湖北省,CONSUME,01,,32.109589,112.733863,ANDROID,false,0
100000,,营口市,永盛铜厂,Z,90,APP,2,35.9,M,汉,3877,2,01,MATE,FATHER,1,80.37,辽宁省,CONSUME,01,,40.585054782438557,122.50446628724741,ANDROID,,0
100000,,哈尔滨市,中山市岩之源服饰有限公司,C,24,XCX,4,36.2,M,汉,6109,2,01,PARENTS,COLLEAGUE,2,70,黑龙江省,CONSUME,01,,22.64834743923611,113.25439778645833,ANDROID,false,0
100000,,宿迁市,宿迁箭鹿集团,H,54,XCX,4,29.7,F,汉,6075,2,01,FATHER,COLLEAGUE,2,70,江苏省,CONSUME,01,,34.006289876302084,118.13388292100694,ANDROID,,0
100000,103,湖州市,戴倩倩制衣厂有限公司,C,24,XCX,2,37.9,F,汉,3983,4,01,MATE,FRIENDS,1,86.151,浙江省,CONSUME,01,,30.84944994797234,120.24226590640932,ANDROID,,0
100000,,六安市,华新精密科技股份有限公司,Z,90,APP,2,38.0,M,汉,4143,2,01,FATHER,COLLEAGUE,3,80.081406,安徽省,CONSUME,01,,31.732804,120.540747,ANDROID,false,0
100000,102,怒江傈僳族自治州,兰坪县通甸人民政府,S,11,APP,3,46.4,M,普米,1159,4,01,PARENTS,RELATIVES,1,85.746,云南省,CONSUME,01,,26.669737927206567,99.51994343103502,ANDROID,false,0
100000,,凉山彝族自治州,胡海明个人工作室,Z,90,XCX,2,23.2,M,彝,2595,4,01,PARENTS,OTHER,2,70,四川省,CONSUME,01,,28.849552408854166,119.88402940538194,ANDROID,,0
100000,,抚顺市,三洋空调有限公司,Z,90,APP,2,32.0,F,汉,5393,2,01,PARENTS,FRIENDS,2,96.2,辽宁省,CONSUME,01,,41.8086953261661,123.78180506986924,ANDROID,,0
100000,104,陵水黎族自治县,北斗社区,S,11,APP,3,40.4,F,汉,4407,4,01,MATE,SIBLING,1,70,海南省,CONSUME,01,,18.503962,110.002791,ANDROID,false,0
100000,102,泉州市,水岸咖啡,I,54,XCX,2,35.8,M,汉,7144,4,01,FATHER,RELATIVES,2,84.587,福建省,CONSUME,01,,24.479028752252803,118.03606898771609,ANDROID,,0
100000,105,泉州市,河南明发装饰有限公司,E,24,APP,3,33.0,M,汉,6206,4,,MATE,COLLEAGUE,2,85.504,福建省,CONSUME,01,,24.87207500651776,118.54424871200351,ANDROID,false,0
100000,,驻马店市,郑东新区云速通讯商行,H,54,XCX,2,24.0,M,汉,1860,2,01,MOTHER,RELATIVES,1,70,河南省,CONSUME,01,,33.143710666232636,114.00659206814237,ANDROID,false,0
100000,102,郴州市,李飞龙个人工作室,Z,90,APP,2,24.4,M,汉,2849,2,01,FATHER,MOTHER,2,90.19594,湖南省,CONSUME,01,,22.83821,114.099589,ANDROID,false,0
100000,105,咸阳市,陕西宏翔晟辉农业发展有限公司,Z,90,APP,2,32.8,M,汉,889,3,01,FATHER,MOTHER,1,88.58,陕西省,CONSUME,01,,34.511367,108.860862,ANDROID,,0
100000,303,海口市,史振儒个人工作室,Z,90,XCX,2,40.4,M,汉,4309,2,,MOTHER,FRIENDS,2,70,海南省,CONSUME,02,,18.475701497395832,108.89489718967013,ANDROID,,0
100000,105,杭州市,浙江凡双科技股份有限公司,G,13,APP,4,31.3,M,汉,5582,3,01,FATHER,MOTHER,3,70,浙江省,CONSUME,01,,30.192752,120.193521,ANDROID,false,0
100000,,海口市,海南灼华健康管理有限公司,Q,11,APP,4,40.6,F,汉,5017,4,01,FATHER,FRIENDS,1,70,海南省,CONSUME,01,,20.011031014659037,110.34994375061156,ANDROID,,0
100000,104,无锡市,茂耀光伏科技有限公司,M,11,XCX,2,33.8,M,汉,782,4,01,MOTHER,MATE,1,70,江苏省,CONSUME,01,,31.698039954517215,120.29583199428535,ANDROID,,0
100000,,河源市,劲派量贩式KTV,Z,90,APP,2,22.6,M,汉,3259,2,01,FATHER,SIBLING,2,94.29,广东省,CONSUME,01,,22.798454412067657,114.47091542542438,ANDROID,,0
100000,102,南京市,徐州富捷物流有限公司,F,17,XCX,4,39.6,M,汉,3769,2,,PARENTS,RELATIVES,2,70,江苏省,CONSUME,02,,23.290423618162526,113.36951283614157,ANDROID,,0
100000,,通化市,九川科技有限公司,Z,90,APP,4,24.3,M,汉,2097,2,01,PARENTS,FRIENDS,2,96.2,吉林省,CONSUME,01,,43.83461138026044,125.44381048881857,ANDROID,,0
100000,,珠海市,未知单位,H,54,APP,4,31.6,M,汉,5355,2,01,MATE,SIBLING,2,70,广东省,CONSUME,01,,22.275565,113.527156,ANDROID,false,0
100000,,湛江市,广州市花遇和风科技有限公司,Z,90,APP,3,24.5,M,汉,1426,4,01,FRIENDS,FATHER,2,88.01,广东省,CONSUME,01,,23.158945983046377,113.40262552065559,ANDROID,,0
100000,403,扬州市,陕西千城电梯工程有限公司,C,24,XCX,3,34.5,M,汉,413,2,01,PARENTS,MOTHER,2,70,江苏省,CONSUME,02,,33.10489209293278,119.61632383386064,ANDROID,false,0
100000,103,揭阳市,许叔平个人工作室,Z,90,APP,3,24.6,M,汉,2084,2,01,FATHER,FRIENDS,2,89.61097,广东省,CONSUME,01,,23.28750882299018,116.18513608688203,IOS,,0
100000,105,石家庄市,小鹏快餐,I,54,APP,4,37.7,M,汉,4107,4,01,MATE,FATHER,1,70,河北省,CONSUME,01,,38.063729,114.399534,ANDROID,false,0
