partner_code,amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
AWJ_CODE,100000,102,重庆市,重庆人瑞人力资源有限公司,O,17,APP,4.0,30.7,F,汉,5720.0,2.0,01,MOTHER,FRIENDS,2,77.172,重庆市,CONSUME,01,,29.60601,106.289667,ANDROID,,0
LXJ_CODE,100000,102,广安市,四川洁顺物业管理有限公司,L,17,XCX,2.0,38.0,M,汉,4858.0,2.0,,MATE,FRIENDS,1,70,四川省,CONSUME,01,,30.384936386131775,106.77876632111597,ANDROID,,0
LXJ_CODE,100000,305,苏州市,高婷婷个人工作室,Z,90,APP,3.0,35.2,F,汉,4352.0,2.0,01,PARENTS,OTHER,1,82.871,江苏省,CONSUME,01,,24.83701,118.61066,ANDROID,false,0
YXM_CODE,,,达州市,,,,,,,,,,,,,,,,四川省,,,,,,,,0
LXJ_CODE,100000,103,南昌市,菱光科技公司,G,13,XCX,2.0,36.9,M,汉,5333.0,4.0,01,PARENTS,RELATIVES,1,70,江西省,CONSUME,01,,28.71622721706558,115.97530893248235,ANDROID,,0
AWJ_CODE,100000,,商丘市,刘一村个人工作室,Z,90,APP,4.0,22.5,M,汉,1478.0,4.0,01,SIBLING,COLLEAGUE,2,70,河南省,CONSUME,01,,34.75619059756687,113.67325751854443,ANDROID,,0
HXQB_CODE,100000,105,南京市,南京爱涵文化传播有限公司,R,17,APP,4.0,38.5,M,汉,4298.0,4.0,01,FATHER,MOTHER,1,70,江苏省,CONSUME,01,,31.966130209547786,118.83320760186065,ANDROID,,0
XYF_CODE,10000,302,濮阳市,个人经营,Z,90,APP,3.0,36.4,F,汉,4314.0,4.0,,FATHER,SIBLING,2,90.519,河南省,CONSUME,,12,35.79500574873787,115.0405924943328,ANDROID,false,0
LXJ_CODE,100000,,达州市,宁波新皓物流有限公司,Z,90,XCX,2.0,31.0,M,汉,6432.0,4.0,01,PARENTS,FRIENDS,2,70,四川省,CONSUME,01,,29.206082899305557,119.83516411675348,ANDROID,,0
AWJ_CODE,100000,105,杭州市,浙江省水利水电勘测设计院,M,11,APP,4.0,39.9,M,汉,4617.0,3.0,01,PARENTS,FRIENDS,1,93.0,浙江省,CONSUME,01,,30.24069911764577,122.20718628994311,ANDROID,,1
AWJ_CODE,100000,,永州市,冰淇淋世界,H,54,XCX,2.0,28.5,F,汉,317.0,4.0,01,MATE,FRIENDS,1,70,湖南,CONSUME,01,,25.540553,111.598313,ANDROID,,0
LXJ_CODE,100000,102,泰州市,南通荣贸贸易有限公司,C,24,XCX,2.0,31.8,M,汉,56.0,2.0,01,FATHER,SIBLING,2,93.91709,江苏省,CONSUME,02,,31.967902238112797,120.9002976068936,ANDROID,,0
LXJ_CODE,100000,,大庆市,肇源县头号玩家网吧,R,17,APP,3.0,34.7,M,汉,5003.0,3.0,01,FATHER,COLLEAGUE,2,70,黑龙江省,CONSUME,02,,45.514214,125.067078,ANDROID,false,0
LXJ_CODE,100000,103,攀枝花市,正立消防设备有限公司,C,24,XCX,2.0,30.0,M,彝,2008.0,2.0,,FATHER,FRIENDS,1,89.536,四川省,CONSUME,01,,25.05409423828125,102.7360866970486,ANDROID,false,0
AWJ_CODE,100000,102,曲靖市,中国人民革命军事博物馆,C,24,APP,4.0,37.6,M,汉,5179.0,3.0,01,PARENTS,FRIENDS,1,70,云南省,CONSUME,01,,39.914574626323517,116.32828720395455,ANDROID,,0
AWJ_CODE,100000,103,安康市,大众修脚店,O,17,APP,2.0,35.9,F,汉,4856.0,4.0,01,OTHER,OTHER,2,70,陕西省,CONSUME,01,,25.768621675144006,113.06937880639252,ANDROID,,0
LXJ_CODE,100000,301,芜湖市,信德房地产开发芜湖有限公司,K,17,XCX,2.0,47.0,M,汉,5018.0,2.0,01,MATE,FRIENDS,1,70,安徽省,CONSUME,01,,31.322379286024304,118.43451144748263,ANDROID,,0
AWJ_CODE,100000,,本溪市,诚源电子商务,G,13,APP,4.0,23.9,F,满,2296.0,3.0,01,MOTHER,SIBLING,2,70,辽宁省,CONSUME,01,,40.106705,124.359547,ANDROID,,0
LXJ_CODE,100000,,本溪市,诚源电子商务,G,13,APP,4.0,23.9,F,满,2296.0,3.0,01,MOTHER,SIBLING,2,70,辽宁省,CONSUME,01,,40.106705,124.359547,ANDROID,false,0
HXQB_CODE,100000,102,重庆市,黄丹个人工作室,Z,90,APP,3.0,34.0,F,汉,4443.0,4.0,01,MATE,FRIENDS,1,70,重庆市,CONSUME,01,,29.513379186733166,106.52784173035384,ANDROID,,1
LXJ_CODE,100000,,江门市,海宴水产,H,54,XCX,2.0,31.8,M,汉,114.0,2.0,01,MATE,FRIENDS,1,70,广东,CONSUME,01,,21.7859033203125,112.64512559678819,ANDROID,,0
AWJ_CODE,100000,,商洛市,成都市博兴汽车维修服务有限公司,O,17,APP,2.0,32.6,M,汉,6307.0,3.0,01,SIBLING,COLLEAGUE,1,84.102,陕西省,CONSUME,01,,30.654762,104.183381,ANDROID,,0
LXJ_CODE,100000,104,阳江市,广东省阳江市盈科服饰有限公司,C,24,APP,2.0,38.4,M,汉,3829.0,4.0,,PARENTS,SIBLING,2,70,广东省,CONSUME,02,,21.862944,111.959282,ANDROID,false,0
AWJ_CODE,100000,104,阳江市,广东省阳江市盈科服饰有限公司,C,24,APP,2.0,38.4,M,汉,3829.0,4.0,,FRIENDS,SIBLING,2,70,广东省,CONSUME,02,,21.862944,111.959282,ANDROID,,0
AWJ_CODE,100000,,茂名市,久哥传媒,Z,90,APP,4.0,26.2,M,汉,1208.0,4.0,01,SIBLING,FATHER,2,70,广东省,CONSUME,01,,37.878827,112.477406,ANDROID,,0
AWJ_CODE,100000,306,河源市,丽日购物广场有限公司,H,54,XCX,3.0,45.0,F,汉,4879.0,2.0,01,CHILDREN,FATHER,1,70,广东省,CONSUME,01,,23.751393229166666,114.68158772786458,ANDROID,,0
HXQB_CODE,100000,102,淮南市,丰台便民服务中心北京,S,11,XCX,3.0,51.3,F,汉,330.0,3.0,01,PARENTS,MATE,3,70,安徽省,CONSUME,01,,39.77230130856131,116.22319585778827,ANDROID,,0
LXJ_CODE,100000,,海口市,海南总队,Z,90,APP,3.0,28.5,M,汉,1826.0,3.0,01,FATHER,COLLEAGUE,2,92.021,海南省,CONSUME,01,,19.791863,110.230891,ANDROID,,0
LXJ_CODE,100000,103,上海市,住宅地址,S,11,XCX,2.0,29.4,F,汉,1658.0,4.0,01,MATE,FRIENDS,1,70,上海市,CONSUME,01,,31.212769452571146,121.56446933853967,ANDROID,,0
AWJ_CODE,100000,,娄底市,湖南汽车制造有限公司,H,54,APP,3.0,24.9,F,汉,1611.0,4.0,01,MOTHER,FRIENDS,2,70,湖南省,CONSUME,01,,28.165191,113.059024,ANDROID,,0
JY_CODE,100000,,张家界市,李春百货商店,Z,90,XCX,4.0,36.7,M,土家,4537.0,2.0,01,MATE,SIBLING,1,70,湖南省,CONSUME,01,,29.400684,110.163555,ANDROID,,0
AWJ_CODE,100000,,郴州市,澈凡贸易店,G,13,APP,2.0,25.8,M,汉,209.0,4.0,01,FATHER,MOTHER,2,70,湖南省,CONSUME,01,,22.951341060556929,113.98708139737804,ANDROID,,0
AWJ_CODE,100000,102,潍坊市,泊头市优胜个性学有限公司,P,13,XCX,4.0,26.0,F,汉,2140.0,4.0,01,MATE,FATHER,1,70,山东省,CONSUME,01,,36.728632688644427,119.1153682546394,ANDROID,,0
LXJ_CODE,100000,,宣城市,义乌康展进出口有限公司,Z,90,APP,2.0,36.2,M,汉,5840.0,3.0,01,MOTHER,FRIENDS,2,88.06961,安徽省,CONSUME,01,,29.297578,120.157648,ANDROID,false,0
LXJ_CODE,100000,102,新乡市,火炯炯石锅菜,I,54,APP,2.0,23.2,M,汉,2050.0,4.0,01,MOTHER,SIBLING,2,89.052,河南省,CONSUME,01,,31.91600148352027,118.91544751017733,ANDROID,,0
AWJ_CODE,100000,102,揭阳市,灵活就业人员,Z,90,APP,4.0,26.8,M,汉,7033.0,4.0,01,MOTHER,FRIENDS,2,88.182,广东省,CONSUME,01,,23.306885,116.190825,ANDROID,,0
AWJ_CODE,100000,105,普洱市,澜沧小小食铺,H,54,APP,3.0,38.5,F,拉祜,4158.0,3.0,01,SIBLING,FRIENDS,2,91.335,云南省,CONSUME,01,,22.56169155093258,99.94030968955592,ANDROID,,0
AWJ_CODE,100000,104,日照市,中铁十四局集团有限公司,E,24,APP,4.0,38.8,M,汉,2903.0,4.0,,MATE,FRIENDS,1,70,山东省,CONSUME,01,,35.76855506862339,118.63791179930377,ANDROID,,1
YXM_CODE,,,益阳市,,,,,,,,,,,,,,,,湖南省,,,,,,,,0
LXJ_CODE,100000,104,黔西南布依族苗族自治州,贵州赋锦瑞会计咨询有限公司,L,17,APP,2.0,36.2,F,汉,5008.0,4.0,01,MOTHER,SIBLING,2,92.123,贵州省,CONSUME,01,,27.28558439919412,105.33497762821031,ANDROID,false,0
