amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
100000,,扬州市,中国东方航空公司,Z,90,APP,4,43.3,F,汉,5475,4,01,FATHER,FRIENDS,2,93.33,江苏省,CONSUME,01,,32.35022779779101,119.43028418286481,ANDROID,,0
100000,102,泸州市,私营业主,Z,90,XCX,2,23.9,M,汉,1989,2,01,MATE,FRIENDS,1,70,四川省,CONSUME,01,,28.147059461805554,106.14470947265625,ANDROID,,0
100000,,重庆市,重庆国世无双科技有限公司,Z,90,APP,2,23.9,M,汉,2489,2,01,SIBLING,SIBLING,2,98.1,重庆市,CONSUME,01,,31.277961848574145,121.42828622527212,ANDROID,,0
100000,103,开封市,朱小平个人工作室,Z,90,APP,2,32.2,F,汉,6960,4,01,MOTHER,SIBLING,2,83.176,河南省,CONSUME,01,,34.457944,114.206755,ANDROID,,0
100000,102,自贡市,艺野艺术培训学校,Z,90,XCX,4,25.7,F,汉,1482,4,01,MOTHER,FRIENDS,2,87.765,四川省,CONSUME,01,,30.797744669162154,103.88923753157224,ANDROID,,0
100000,105,玉溪市,杨八东个人工作室,H,54,XCX,3,27.7,M,汉,1690,4,,FATHER,RELATIVES,2,70,云南省,CONSUME,04,,24.68843790338206,102.17177533402519,IOS,,0
100000,,临沂市,中国邮政集团,Z,90,APP,3,28.2,M,汉,1883,2,01,FATHER,FRIENDS,2,98.33,山东省,CONSUME,01,,22.57294718385543,113.86215210694582,ANDROID,,0
100000,301,黄冈市,湖北联交投,J,13,APP,3,30.8,M,汉,731,4,01,SIBLING,MOTHER,1,70,湖北省,CONSUME,01,,30.532577064399584,114.89350243237496,ANDROID,,0
100000,102,迪庆藏族自治州,昆明市官渡区甜甜农家菜馆,Z,90,XCX,2,35.7,F,汉,4067,4,01,RELATIVES,SIBLING,1,70,云南省,CONSUME,01,,27.813329,99.714855,ANDROID,,0
100000,,滨州市,宁宁洗化,Z,90,APP,2,37.1,M,汉,3908,4,01,FRIENDS,FRIENDS,2,97.5,山东省,CONSUME,01,,37.58546299830714,117.35720014898361,ANDROID,,0
100000,,珠海市,万高咨询有限公司,Z,90,APP,4,35.6,M,汉,5796,4,01,SIBLING,FRIENDS,3,85.83,广东省,CONSUME,01,,22.248221344769815,113.52737421468379,ANDROID,,0
100000,102,红河哈尼族彝族自治州,个旧市佤山狗肉馆,H,54,XCX,2,39.3,M,佤,3018,3,01,MATE,FRIENDS,1,70,云南省,CONSUME,01,,28.248781541370165,113.09631218613572,ANDROID,,0
100000,,茂名市,中铁七局有限公司,Z,90,APP,3,30.5,F,汉,6694,2,01,MATE,SIBLING,1,73.0,广东省,CONSUME,01,,22.308205581496485,110.84944104960619,ANDROID,,0
100000,104,上饶市,爱车技术车业有限公司,C,24,APP,2,37.4,M,汉,6320,2,01,PARENTS,FRIENDS,1,70,江西省,CONSUME,01,,28.454567969671126,117.91404166263928,ANDROID,,1
100000,105,深圳市,广东科信电子,Z,90,APP,3,27.0,M,汉,954,4,01,MATE,FATHER,2,86.573,广东省,CONSUME,01,,22.534616201437239,114.0449258624851,ANDROID,,0
100000,103,嘉兴市,嘉兴中理外轮理货有限责任公司,F,17,APP,3,37.5,M,汉,4008,2,,COLLEAGUE,FRIENDS,3,70,浙江省,CONSUME,01,,30.711072,121.020819,ANDROID,,0
100000,103,连云港市,徐梓凯个人工作室,Z,90,APP,3,23.8,M,汉,2165,2,01,FRIENDS,FRIENDS,2,85.072,江苏省,CONSUME,01,,31.32916682054334,120.7914537017969,ANDROID,,0
100000,103,保定市,雄县雄蓝汽车销售有限公司,H,54,APP,3,34.4,M,汉,4363,3,,FATHER,FRIENDS,2,95.492,河北省,CONSUME,01,,38.892364504883,115.883209232442,ANDROID,,0
100000,,周口市,苏州住电装有限公司,Z,90,APP,2,28.6,M,汉,610,2,01,MATE,SIBLING,1,91.41,河南省,CONSUME,01,,33.48122290120115,114.71600920549887,ANDROID,,0
100000,,池州市,宋徽厨餐饮有限公司,Z,90,APP,2,27.9,F,汉,827,2,01,MATE,FATHER,1,97.15,安徽省,CONSUME,01,,40.71118283317765,110.30238109248447,ANDROID,,0
100000,105,广州市,广州唐聿文化发展有限公司,G,13,APP,3,49.8,F,汉,4528,3,01,SIBLING,COLLEAGUE,3,90.014,广东省,CONSUME,01,,23.04755998781802,113.31351365364532,ANDROID,,1
100000,,重庆市,成都炬佳商贸有限公司,Z,90,APP,2,40.2,M,汉,2599,4,01,MATE,SIBLING,1,70,重庆市,CONSUME,01,,30.821703016493057,103.57215630425347,ANDROID,,0
100000,,宜春市,中铁水利科技有限公司,Z,90,APP,4,23.5,M,汉,3434,4,01,FRIENDS,FRIENDS,2,96.2,江西省,CONSUME,01,,28.172703221614524,115.8106444896798,ANDROID,,0
100000,,黔西南布依族苗族自治州,美团外卖,Z,90,APP,2,27.9,M,汉,477,2,01,MATE,FRIENDS,1,86.66,贵州省,CONSUME,01,,24.942342056870105,104.94246069603949,ANDROID,,0
100000,,福州市,福州职业技术学院,Z,90,APP,4,44.5,M,汉,3577,4,01,MATE,FRIENDS,1,100.0,福建省,CONSUME,01,,26.044460395904097,119.31758105029995,ANDROID,,0
100000,,赤峰市,日上免税行,Z,90,APP,4,25.3,F,汉,1394,3,01,RELATIVES,RELATIVES,2,70,内蒙古自治区,CONSUME,01,,40.058992,116.646575,ANDROID,,0
100000,,宿州市,青山湖区智博广告中心,Z,90,APP,4,22.4,M,汉,2668,2,01,FATHER,FATHER,2,91.84,安徽省,CONSUME,01,,38.731425889363539,115.19926343425763,ANDROID,,0
100000,105,常德市,开化忠顺建筑劳务分包有限公司杭州分公司,Z,90,APP,3,46.3,F,汉,720,2,01,MATE,MATE,1,70,湖南省,CONSUME,01,,29.029254633471166,111.71027273042529,ANDROID,,0
100000,,陇南市,洛阳观畅物业管理有限公司,Z,90,APP,2,39.3,F,汉,5376,2,01,FRIENDS,FRIENDS,2,94.29,甘肃省,CONSUME,01,,33.50705634298083,105.0346313446448,ANDROID,,0
100000,,揭阳市,晓弟肉类,Z,90,XCX,2,35.4,M,汉,3961,4,01,PARENTS,FRIENDS,1,70,广东省,CONSUME,01,,23.476355523003473,116.49904595269098,ANDROID,,0
100000,,保定市,日用百货有限公司,Z,90,XCX,3,24.8,F,汉,2170,4,01,MATE,COLLEAGUE,1,70,河北省,CONSUME,01,,38.844014485677086,114.20217936197916,ANDROID,,0
100000,102,宁德市,中山统一企业有限公司,C,24,APP,4,38.7,M,汉,4658,4,01,MATE,FRIENDS,2,70,福建省,CONSUME,01,,22.8375239626642,115.12533820875267,ANDROID,,0
100000,103,茂名市,茂名市文东街小学,P,13,APP,3,46.5,M,汉,6009,2,01,FATHER,MOTHER,3,70,广东省,CONSUME,02,,21.647894,110.932769,ANDROID,,0
100000,103,福州市,王品集团西堤牛排,Z,90,APP,2,29.5,M,汉,2129,2,01,MATE,FRIENDS,2,90.283,福建省,CONSUME,01,,30.266616973517836,120.22790273201614,IOS,,1
100000,307,温州市,佛山董林包装制品有限公司,C,24,APP,2,46.6,M,汉,888,3,01,RELATIVES,FRIENDS,1,70,浙江省,CONSUME,01,,23.203198545382496,113.18378441006029,ANDROID,,0
100000,,泰州市,江苏省建筑工程有限公司,Z,90,APP,3,23.6,M,汉,2466,2,01,FRIENDS,FRIENDS,2,91.945,江苏省,CONSUME,01,,22.745572,114.374539,ANDROID,,0
100000,403,巴中市,巴中市三江镇卫生院,Z,90,XCX,3,26.0,F,汉,1492,4,01,MATE,SIBLING,2,70,四川省,CONSUME,01,,31.849782443576387,106.76339165581597,ANDROID,,0
