amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
100000,,吕梁市,山西柳林晋柳能,C,24,APP,2,49.5,M,汉,3744,2,,FRIENDS,MATE,1,70,山西省,CONSUME,02,,37.32827094184028,110.92954644097222,ANDROID,,0
100000,104,昆明市,晨发宠物用品,C,24,APP,3,35.0,M,汉,6505,4,01,MATE,FRIENDS,1,70,云南省,CONSUME,01,,22.713886678991167,114.3478155909219,ANDROID,,0
100000,,湖州市,亨通光电,Z,90,APP,4,36.0,M,汉,3801,2,01,MATE,FRIENDS,1,78.0,浙江省,CONSUME,01,,30.939151799560255,120.34066220025245,ANDROID,,0
100000,,洛阳市,西安铭度石化科技有限公司,Z,90,APP,3,29.5,M,汉,221,4,01,MATE,FATHER,1,95.51,河南省,CONSUME,01,,38.61581141109471,108.85299659282789,ANDROID,,0
100000,105,景德镇市,阿丽陶瓷店,H,54,XCX,2,43.6,M,汉,5649,2,01,MATE,COLLEAGUE,1,85.739,江西省,CONSUME,01,,29.310814880742595,117.23298595153887,ANDROID,,0
100000,103,雅安市,山东省青岛市亿东盛建筑劳务有限公司,O,17,APP,2,50.9,F,汉,99999,3,01,MATE,SIBLING,1,92.069,四川省,CONSUME,01,,41.7866037220477,86.14125939585056,ANDROID,,0
100000,,汉中市,李羿欣个人工作室,Z,90,APP,4,29.0,M,汉,7097,2,01,MOTHER,MATE,2,70,陕西省,CONSUME,01,,30.546823,104.04539,ANDROID,,0
100000,,临沂市,中国邮政集团,Z,90,APP,3,28.2,M,汉,1883,2,01,FATHER,FRIENDS,2,98.33,山东省,CONSUME,01,,22.57294718385543,113.86215210694582,ANDROID,,0
100000,,福州市,福州职业技术学院,Z,90,APP,4,44.5,M,汉,3577,4,01,MATE,FRIENDS,1,100.0,福建省,CONSUME,01,,26.044460395904097,119.31758105029995,ANDROID,,0
100000,,荆州市,孙友个人工作室,Z,90,APP,2,35.4,F,汉,5456,4,01,MATE,FRIENDS,1,100.0,湖北省,CONSUME,01,,29.842326493210707,112.55236922465277,ANDROID,,0
100000,104,宣城市,个人所在公司,C,24,APP,4,40.2,M,汉,6022,4,01,PARENTS,FRIENDS,1,93.991,安徽省,CONSUME,01,,30.61387428510887,118.99472238531935,ANDROID,,0
100000,,临夏回族自治州,甘肃临夏凯帝斯电梯制造有限公司,Z,90,APP,2,22.3,M,东乡,2487,4,01,MATE,COLLEAGUE,1,99.05,甘肃省,CONSUME,01,,35.54502167664582,103.43532594351146,ANDROID,,0
100000,102,厦门市,上海一橙网络科技股份有限公司,Z,90,APP,3,29.0,M,汉,364,3,01,MATE,RELATIVES,2,82.0,福建省,CONSUME,01,,24.482016866746016,118.0944358240108,ANDROID,,0
100000,,常州市,Jenni婚纱,Z,90,APP,3,32.6,F,汉,5007,2,01,FATHER,FATHER,3,85.83,江苏省,CONSUME,01,,31.74641071411893,119.60697836142205,ANDROID,,0
100000,403,泰州市,秦淮区上车既出发剧本创作工作室,Z,90,APP,4,30.1,M,汉,5992,4,01,COLLEAGUE,FATHER,2,73.454,江苏省,CONSUME,01,,31.786465486385823,119.91012593385355,ANDROID,,1
100000,,平顶山市,叶县自然资源局,Z,90,APP,4,30.5,F,汉,1906,4,01,FATHER,MATE,1,70,河南省,CONSUME,01,,33.627738,113.35689,ANDROID,,0
100000,,东莞市,广东东莞,H,54,APP,4,37.7,M,汉,5212,3,01,MATE,FRIENDS,1,70,广东省,CONSUME,01,,22.8382568359375,113.68747395833333,ANDROID,,0
100000,,湛江市,通达集团,Z,90,APP,4,22.8,M,汉,2201,2,01,FATHER,SIBLING,2,86.66,广东省,CONSUME,01,,24.78726664462695,118.71445370058912,ANDROID,,0
100000,,新余市,尚高交通,F,17,APP,2,34.0,M,汉,6307,3,01,MATE,FRIENDS,1,70,江西省,CONSUME,02,,31.592003,120.902285,ANDROID,,0
100000,,固原市,牧阳音乐会所,Z,90,APP,2,34.3,M,回,7006,2,01,PARENTS,FRIENDS,2,100.0,宁夏回族自治区,CONSUME,01,,36.10448895756401,106.209305036295,ANDROID,,0
100000,104,西安市,陕西星联鸿创物业服务有限责任公司,L,17,APP,4,41.2,F,汉,2764,4,01,OTHER,FATHER,,95.072,陕西省,CONSUME,01,,34.295609248652358,109.0951919679159,ANDROID,,0
100000,,淮安市,无锡过福来手推馄饨,Z,90,XCX,3,34.8,M,汉,7057,3,01,MATE,RELATIVES,1,88.606,江苏省,CONSUME,01,,31.59873969184028,120.25685546875,ANDROID,,0
100000,,商丘市,文化医院,Z,90,APP,3,23.1,F,汉,1125,4,01,PARENTS,FRIENDS,2,96.2,河南省,CONSUME,01,,34.55337837007838,115.73629741728775,ANDROID,,0
100000,102,巢湖市,广州美术有限公司青岛分公司,Z,90,APP,2,49.3,M,汉,1046,3,01,MOTHER,FRIENDS,1,70,安徽省,CONSUME,01,,36.15742105721893,120.42294653581367,ANDROID,,0
100000,,济南市,张焕伟个人工作室,Z,90,APP,2,43.3,M,汉,5757,2,01,MATE,FATHER,1,88.33,山东省,CONSUME,01,,32.441849794962639,115.97897123724735,ANDROID,,0
100000,104,湖州市,湖州永润鞋业有限公司,C,24,APP,2,46.7,M,汉,339,2,01,PARENTS,FRIENDS,1,93.009,浙江省,CONSUME,01,,30.910520965986487,119.68173548023718,ANDROID,,0
100000,105,常州市,溧阳市华夏电器销售有限公司,H,54,APP,4,49.1,M,汉,3311,2,01,MATE,FRIENDS,1,93.674,江苏省,CONSUME,01,,31.420972749727278,119.50348562953356,ANDROID,,0
100000,,上海市,上海市崇明区陈家镇北滩投资有限公司,Z,90,APP,2,49.6,M,汉,99999,2,01,MATE,SIBLING,1,70,上海市,CONSUME,01,,31.514253,121.835541,ANDROID,,0
100000,103,青岛市,城阳区南方通通信店,Z,90,XCX,3,38.3,F,汉,3695,4,01,MOTHER,MATE,1,91.056,山东省,CONSUME,01,,36.343339089659597,120.27982117281012,ANDROID,,0
100000,,绍兴市,卧龙控股集团,Z,90,APP,4,44.5,M,汉,1983,2,01,MATE,FRIENDS,1,97.5,浙江省,CONSUME,01,,30.019116646626665,120.57510897902947,ANDROID,,0
100000,,南通市,朱林林个人工作室,Z,90,APP,4,41.6,M,汉,1925,2,01,MATE,COLLEAGUE,1,94.34,江苏省,CONSUME,01,,32.33587288615511,121.19243791023843,ANDROID,,0
100000,,白山市,林林殡葬批发商店,H,54,APP,2,39.6,M,汉,5516,2,01,MOTHER,FRIENDS,3,86.608,吉林省,CONSUME,01,,42.383738227541656,126.80999025715042,ANDROID,,0
100000,,阜阳市,小韩私房菜,Z,90,APP,2,34.3,M,汉,5011,2,01,COLLEAGUE,FATHER,2,96.2,安徽省,CONSUME,01,,39.93483902888288,116.68168311904364,ANDROID,,0
100000,105,永州市,广州勇诚机械租赁有限公司,L,17,APP,4,45.8,M,汉,1449,3,01,FATHER,FRIENDS,1,70,湖南省,CONSUME,02,,23.161886679907349,113.2819866958537,ANDROID,,0
100000,,牡丹江市,牡丹江市忠良肉食品加工有限公司,Z,90,APP,4,33.3,F,汉,5792,2,01,FATHER,MOTHER,1,70,黑龙江省,CONSUME,01,,44.578652,129.615073,IOS,,0
