amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,label
100000,105,临沂市,连续创业人士,Z,90,XCX,3,23.0,M,汉,1161,4,01,SIBLING,CHILDREN,2,88.775,山东省,CONSUME,01,,36.168967794475265,120.4939858905068,ANDROID,,0
100000,102,徐州市,江苏淮海新能源车辆有限公司,Z,90,APP,4,42.5,M,汉,1879,3,01,MATE,FRIENDS,1,92.471,江苏省,CONSUME,01,,34.27744580144558,117.25776167012775,ANDROID,,0
100000,104,宁波市,鹤轩水产有限公司,C,24,APP,2,47.0,M,汉,986,2,01,MATE,FRIENDS,1,70,浙江省,CONSUME,02,,29.154057608821643,121.91179728298278,ANDROID,,0
100000,103,聊城市,亮农尚科农牧有限公司,A,27,XCX,4,38.8,M,汉,3935,3,,MATE,SIBLING,1,70,山东省,CONSUME,01,,36.65225153388411,115.6980376853168,ANDROID,,0
100000,102,湘西土家族苗族自治州,四川银丰恒建筑劳务有限公司,O,17,APP,3,36.3,M,土家,3962,4,01,MATE,SIBLING,1,77.761635,湖南省,CONSUME,01,,31.52372709583302,104.58493670488638,ANDROID,,0
100000,105,宜昌市,工作人员,H,54,APP,2,48.3,M,汉,3978,2,01,PARENTS,COLLEAGUE,3,70,湖北省,CONSUME,01,,30.810424750329238,111.32028688648133,ANDROID,,0
100000,403,济宁市,汶上县康复医院,Q,11,APP,4,35.9,F,汉,3971,2,01,RELATIVES,MOTHER,1,87.815,山东省,CONSUME,01,,35.71192114278323,116.49973260899596,ANDROID,,0
100000,105,长春市,吉林亚泰富苑购物中心有限公司长春东盛大街分公司,H,54,APP,4,43.6,M,汉,1357,2,01,MATE,FRIENDS,1,82.77054,吉林省,CONSUME,01,,43.89288847261332,125.39082741135323,ANDROID,,0
100000,307,大连市,信合图文,R,17,XCX,3,26.8,M,汉,1361,4,01,SIBLING,RELATIVES,2,70,辽宁省,CONSUME,01,,39.07982127886423,121.76512626777343,ANDROID,,0
100000,105,南京市,河北盈普科技有限公司,G,13,APP,3,27.0,M,汉,7086,2,01,FATHER,COLLEAGUE,2,85.158,江苏省,CONSUME,01,,32.135209847345588,118.85486877656874,ANDROID,,0
100000,102,临沂市,临沂铁路物流有限公司,F,17,XCX,3,36.9,M,汉,3668,2,01,FRIENDS,MOTHER,1,85.467,山东省,CONSUME,02,,35.08497886139869,118.40729960927969,ANDROID,,0
100000,102,商丘市,北京大龙门窗厂,C,24,XCX,2,38.6,M,汉,5697,2,01,FRIENDS,COLLEAGUE,1,84.168,河南省,CONSUME,02,,34.63195940223959,115.15491345078194,ANDROID,,0
100000,103,德州市,青岛益昕集团,Z,90,APP,4,23.2,M,汉,2692,2,01,FRIENDS,FRIENDS,2,87.229,山东省,CONSUME,01,,37.184613874460357,116.500259343828,ANDROID,,0
100000,102,淄博市,淄博新视觉艺术培训学校有限公司,P,13,APP,3,32.0,M,汉,5350,4,01,MATE,COLLEAGUE,1,89.375,山东省,CONSUME,01,,36.95260164986621,118.10655290740695,ANDROID,,0
100000,103,云浮市,南朗神话KTV,Z,90,APP,2,30.4,M,汉,7266,2,01,SIBLING,FRIENDS,2,86.607,广东省,CONSUME,01,,22.492349285644058,113.54660769209149,ANDROID,,0
100000,105,北海市,广西广投鑫源热电有限公司,D,17,APP,4,33.4,M,汉,5376,4,01,FATHER,FRIENDS,1,90.593,广西壮族自治区,CONSUME,01,,21.526379588081249,109.35803638399652,ANDROID,,0
100000,102,自贡市,四川省自贡市自流井区人武部,C,24,APP,4,45.1,M,汉,4809,3,01,PARENTS,FATHER,1,70,四川省,CONSUME,01,,29.329507197453294,104.76229806262835,ANDROID,,0
100000,102,桂林市,广州市方圆家美塑料制品有限公司,Z,90,APP,2,30.3,M,瑶,1579,2,,PARENTS,FRIENDS,2,93.549,广西壮族自治区,CONSUME,02,,23.404499716707379,113.20584629934455,ANDROID,,0
100000,105,贵阳市,个体工商户,Z,90,APP,3,38.8,M,汉,4360,2,01,MATE,FRIENDS,1,84.417175,贵州省,CONSUME,01,,26.64173250194597,106.7863445044204,IOS,,0
100000,103,深圳市,万丰社区工作站,S,11,APP,2,49.6,M,汉,3448,4,01,MATE,COLLEAGUE,1,70,广东省,CONSUME,02,,22.72717994231522,113.83935502120748,ANDROID,,0
100000,103,重庆市,重林网络有限公司,Z,90,APP,3,32.3,M,汉,472,3,01,MOTHER,COLLEAGUE,2,70,重庆市,CONSUME,01,,29.570060541172795,106.24639564805669,ANDROID,,0
100000,301,驻马店市,宜人居装饰设计工程有限公司,E,24,APP,3,36.3,M,汉,4271,4,01,MATE,MOTHER,1,93.0,河南省,CONSUME,01,,32.998097495326437,113.97496784658587,ANDROID,,0
100000,104,赣州市,双胞胎信丰猪业有限公司,Z,90,XCX,4,27.5,M,汉,1401,2,01,COLLEAGUE,COLLEAGUE,1,94.68169,江西省,CONSUME,01,,25.859331409776475,114.98563130416902,ANDROID,,0
100000,103,自贡市,常州市凯迪电器股份有限公司,C,24,XCX,3,31.1,F,汉,6859,4,01,PARENTS,FRIENDS,1,83.004,四川省,CONSUME,01,,11.403449998684588,106.66866899999997,ANDROID,,1
100000,403,石家庄市,赵宗魁个人工作室,H,54,XCX,2,29.1,M,汉,6237,4,01,FATHER,SIBLING,2,77.81997,河北省,CONSUME,01,,37.98466903827049,114.889619356323,ANDROID,,0
100000,103,达州市,宣汉马度关农技站,Z,90,XCX,4,34.3,M,汉,4634,4,,PARENTS,FATHER,1,87.325,四川省,CONSUME,04,,23.0594098142216,113.82650151714172,ANDROID,,0
100000,103,阜新市,锅炉检验所,H,54,APP,4,53.8,F,汉,1176,4,,MATE,FRIENDS,1,78.906555,辽宁省,CONSUME,01,,42.37760618445396,122.55171233522293,ANDROID,,0
100000,102,七台河市,北京得道普业商贸有限公司,H,54,XCX,3,37.5,M,汉,5453,3,01,FATHER,FRIENDS,2,90.945,黑龙江省,CONSUME,01,,39.85571589077628,116.48189048086559,ANDROID,,1
100000,105,西安市,陕西赛飞实业有限公司,Z,90,APP,3,35.2,M,汉,4354,3,,SIBLING,SIBLING,2,70,陕西省,CONSUME,01,,34.38979218774369,109.07123895754173,ANDROID,,0
100000,102,盐城市,未知单位,P,13,XCX,4,24.4,M,汉,1004,4,01,FATHER,SIBLING,2,95.072,江苏省,CONSUME,01,,31.295412874249988,121.33946071100714,ANDROID,,0
100000,102,绍兴市,陈氏猪肉铺,Z,90,APP,2,39.4,M,汉,4067,3,01,MATE,FRIENDS,1,93.164,浙江省,CONSUME,02,,29.84868714562095,120.40429708284586,ANDROID,,1
100000,307,屯昌县,海南明和香业,Z,90,APP,3,37.7,M,瑶,5389,4,01,MATE,SIBLING,1,70,海南省,CONSUME,02,,19.48201879341558,109.97756541888794,ANDROID,,0
100000,104,惠州市,民仁五金加工,C,24,XCX,3,44.8,M,汉,2290,2,01,RELATIVES,FRIENDS,2,70,广东省,CONSUME,01,,22.772240167402008,114.67034295313339,ANDROID,,0
100000,105,南昌市,南昌市汇意广告公司,Z,90,XCX,2,35.0,M,汉,4300,2,,RELATIVES,SIBLING,2,70,江西省,CONSUME,01,,23.094205135086324,113.33085571639998,ANDROID,,0
100000,104,长春市,吉梓源个人工作室,Z,90,APP,4,22.7,M,汉,2815,2,01,MOTHER,FRIENDS,2,87.593,吉林省,CONSUME,01,,43.823381352131587,126.56020135757325,ANDROID,,0
100000,403,保定市,北京盛世金诚装饰有限公司,E,24,APP,3,34.0,M,汉,5820,4,01,PARENTS,FRIENDS,1,70,河北省,CONSUME,01,,40.44070316297436,116.8456620949091,ANDROID,,0
100000,103,上海市,松江万达商业管理有限公司,Z,90,XCX,4,49.7,M,汉,69,4,01,MATE,FRIENDS,1,90.389,上海市,CONSUME,01,,30.934424150889883,121.0627789092349,IOS,,0
100000,105,榆林市,谢桃花个人工作室,C,24,APP,2,41.6,F,汉,3437,3,01,COLLEAGUE,COLLEAGUE,3,70,陕西省,CONSUME,01,,38.24523899132478,109.79537077079327,ANDROID,,0
100000,102,秦皇岛市,保定诚唯汽车销售有限公司,O,17,APP,3,27.1,M,汉,354,4,01,MOTHER,FRIENDS,2,70,河北省,CONSUME,01,,38.922040472657929,115.56217326573095,ANDROID,,0
100000,103,盐城市,张杰个人工作室,H,54,APP,2,34.6,F,汉,4573,4,01,PARENTS,COLLEAGUE,2,96.0,江苏省,CONSUME,01,,33.81625451663319,119.7338175193716,ANDROID,,0
100000,102,临汾市,郭艳艳个人工作室,H,54,XCX,2,30.2,F,汉,227,4,,RELATIVES,CHILDREN,1,70,山西省,CONSUME,04,,39.91719752731119,116.47296769216413,ANDROID,,0
100000,105,济宁市,奕鑫石材加工厂,C,24,APP,2,35.4,M,汉,6783,4,01,SIBLING,FRIENDS,1,88.123,山东省,CONSUME,01,,35.68190231144936,117.26963147158145,ANDROID,,0
100000,105,西双版纳傣族自治州,灵活就业者,A,27,APP,2,25.5,F,汉,1374,4,01,MATE,FRIENDS,1,90.134,云南省,CONSUME,02,,22.20886274723351,100.33771277189106,ANDROID,,1
